book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
FanDuel,mlb,110471,,,,,team_total_runs,team,full_game,False,,3.5,under,,,CWS,TB,-120.0,0.5454545454545454,0.5409015025041736,eid110471:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110471,,,,,team_total_runs,team,full_game,False,,3.5,under,,,CWS,TB,-119.0,0.54337899543379,0.5411017748255558,eid110471:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110471,,,,,team_total_runs,team,full_game,False,,8.0,under,,,CWS,TB,-2500.0,0.9615384615384616,0.5617977528089887,eid110471:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110471,,,,,team_total_runs,team,full_game,False,,4.5,over,,,CWS,TB,117.0,0.4608294930875576,0.2311062099241122,eid110471:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110471,,,,,team_total_runs,team,full_game,False,,4.5,over,,,CWS,TB,117.0,0.4608294930875576,0.4588982251744442,eid110471:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110471,,,,,team_total_runs,team,full_game,False,,2.0,over,,,CWS,TB,-300.0,0.75,0.4382022471910112,eid110471:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110471,,,,,team_total_runs,team,full_game,False,,4.5,over,,,CWS,TB,116.0,0.46296296296296297,0.4590984974958264,eid110471:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110479,,,,,team_total_runs,team,full_game,False,,8.0,under,,,CWS,TB,-1400.0,0.9333333333333333,0.5741324921135647,eid110479:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110479,,,,,team_total_runs,team,full_game,False,,2.0,over,,,CWS,TB,-225.0,0.6923076923076923,0.42586750788643535,eid110479:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110522,,,,,team_total_runs,team,full_game,False,,8.0,under,,,ATL,MIA,-1600.0,0.9411764705882353,0.5405405405405406,eid110522:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110522,,,,,team_total_runs,team,full_game,False,,3.5,under,,,ATL,MIA,-101.0,0.5024875621890548,0.49757316895597725,eid110522:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110522,,,,,team_total_runs,team,full_game,False,,3.5,under,,,ATL,MIA,100.0,0.5,0.49282296650717705,eid110522:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110522,,,,,team_total_runs,team,full_game,False,,3.5,under,,,ATL,MIA,101.0,0.4975124378109453,0.24814805759968706,eid110522:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110522,,,,,team_total_runs,team,full_game,False,,4.5,over,,,ATL,MIA,-109.0,0.5215311004784688,0.2601280284187341,eid110522:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110522,,,,,team_total_runs,team,full_game,False,,2.0,over,,,ATL,MIA,-400.0,0.8,0.4594594594594595,eid110522:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110522,,,,,team_total_runs,team,full_game,False,,4.5,over,,,ATL,MIA,-103.0,0.5073891625615764,0.5024268310440226,eid110522:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110522,,,,,team_total_runs,team,full_game,False,,4.5,over,,,ATL,MIA,-106.0,0.5145631067961165,0.507177033492823,eid110522:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110823,,,,,team_total_runs,team,full_game,False,,8.0,under,,,MIN,BOS,-1400.0,0.9333333333333333,0.56,eid110823:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110823,,,,,team_total_runs,team,full_game,False,,2.0,over,,,MIN,BOS,-275.0,0.7333333333333333,0.44,eid110823:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110876,,,,,team_total_runs,team,full_game,False,,4.5,under,,,CIN,SF,-122.0,0.5495495495495496,0.5187593796898449,eid110876:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110876,,,,,team_total_runs,team,full_game,False,,4.5,under,,,CIN,SF,-113.0,0.5305164319248826,0.5209715506578209,eid110876:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110876,,,,,team_total_runs,team,full_game,False,,4.5,under,,,CIN,SF,-117.0,0.5391705069124424,0.2584862736625547,eid110876:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110876,,,,,team_total_runs,team,full_game,False,,8.0,under,,,CIN,SF,-900.0,0.9,0.539227895392279,eid110876:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110876,,,,,team_total_runs,team,full_game,False,,4.5,over,,,CIN,SF,-104.0,0.5098039215686274,0.48124062031015497,eid110876:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110876,,,,,team_total_runs,team,full_game,False,,4.5,over,,,CIN,SF,105.0,0.4878048780487805,0.4790284493421793,eid110876:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110876,,,,,team_total_runs,team,full_game,False,,2.0,over,,,CIN,SF,-333.0,0.76905311778291,0.46077210460772106,eid110876:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110876,,,,,team_total_runs,team,full_game,False,,4.5,over,,,CIN,SF,100.0,0.5,0.23970735634518964,eid110876:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110888,,,,,team_total_runs,team,full_game,False,,5.5,under,,,PIT,WAS,-130.0,0.5652173913043478,0.5403677058353318,eid110888:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110888,,,,,team_total_runs,team,full_game,False,,5.5,under,,,PIT,WAS,-120.0,0.5454545454545454,0.4789097988319273,eid110888:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110888,,,,,team_total_runs,team,full_game,False,,8.0,under,,,PIT,WAS,-500.0,0.8333333333333334,0.5293472298409215,eid110888:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110888,,,,,team_total_runs,team,full_game,False,,5.5,under,,,PIT,WAS,-123.0,0.5515695067264574,0.25586444117984725,eid110888:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110888,,,,,team_total_runs,team,full_game,False,,3.5,over,,,PIT,WAS,-146.0,0.5934959349593496,0.5210902011680727,eid110888:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110888,,,,,team_total_runs,team,full_game,False,,4.5,over,,,PIT,WAS,108.0,0.4807692307692308,0.45963229416466833,eid110888:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110888,,,,,team_total_runs,team,full_game,False,,2.0,over,,,PIT,WAS,-286.0,0.7409326424870466,0.47065277015907836,eid110888:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110888,,,,,team_total_runs,team,full_game,False,,3.5,over,,,PIT,WAS,-141.0,0.5850622406639004,0.271401195021352,eid110888:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110898,,,,,team_total_runs,team,full_game,False,,8.0,under,,,OAK,TEX,-900.0,0.9,0.5294117647058824,eid110898:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110898,,,,,team_total_runs,team,full_game,False,,2.0,over,,,OAK,TEX,-400.0,0.8,0.47058823529411764,eid110898:bt4:ptNone:pregame,,,,,,market_only
