sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984834,game_total_runs,over,8.5,-120.0,,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,game_total_runs,under,8.5,100.0,,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-385.0,Jacob Wilson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,141.0,Jacob Wilson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,600.0,Jacob Wilson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,4+,,2600.0,Jacob Wilson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-299.0,Brandon Nimmo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,174.0,Brandon Nimmo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,770.0,Brandon Nimmo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,4+,,3300.0,Brandon Nimmo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-263.0,Corey Seager,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,200.0,Corey Seager,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,900.0,Corey Seager,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,4+,,3700.0,Corey Seager,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-246.0,Jake Burger,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,211.0,Jake Burger,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,930.0,Jake Burger,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,4+,,4000.0,Jake Burger,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-237.0,Shea Langeliers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,220.0,Shea Langeliers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,980.0,Shea Langeliers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,4+,,4100.0,Shea Langeliers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-233.0,Wyatt Langford,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,228.0,Wyatt Langford,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,1020.0,Wyatt Langford,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,4+,,4400.0,Wyatt Langford,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-210.0,Josh Jung,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,260.0,Josh Jung,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,1240.0,Josh Jung,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,1+,,-228.0,Darell Hernaiz,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,2+,,252.0,Darell Hernaiz,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,hits_milestones,3+,,1260.0,Darell Hernaiz,,,,,DraftKings,2026-04-14T20:34:24Z
